id,name,city,age,friend_name,hobbies
0,Elijah,Austin,78,Michelle,"Watching Sports, Reading, Skiing & Snowboarding"
0,Elijah,Austin,78,Robert,"Traveling, Video Games"
1,Noah,Boston,97,Oliver,"Watching Sports, Skiing & Snowboarding, Collecting"
1,Noah,Boston,97,Olivia,"Running, Music, Woodworking"
1,Noah,Boston,97,Robert,"Woodworking, Calligraphy, Genealogy"
1,Noah,Boston,97,Ava,"Walking, Church Activities"
1,Noah,Boston,97,Michael,"Music, Church Activities"
1,Noah,Boston,97,Michael,"Martial Arts, Painting, Jewelry Making"
2,Evy,San Diego,48,Joe,"Reading, Volunteer Work"
2,Evy,San Diego,48,Joe,"Genealogy, Golf"
2,Evy,San Diego,48,Oliver,"Collecting, Writing, Bicycling"
2,Evy,San Diego,48,Liam,"Church Activities, Jewelry Making"
2,Evy,San Diego,48,Amelia,"Calligraphy, Dancing"
3,Oliver,St. Louis,39,Mateo,"Watching Sports, Gardening"
3,Oliver,St. Louis,39,Nora,"Traveling, Team Sports"
3,Oliver,St. Louis,39,Ava,"Church Activities, Running"
3,Oliver,St. Louis,39,Amelia,"Gardening, Board Games, Watching Sports"
3,Oliver,St. Louis,39,Leo,"Martial Arts, Video Games, Reading"
4,Michael,St. Louis,95,Mateo,"Movie Watching, Collecting"
4,Michael,St. Louis,95,Chris,"Housework, Bicycling, Collecting"
5,Michael,Portland,19,Jack,"Painting, Television"
5,Michael,Portland,19,Oliver,"Walking, Watching Sports, Movie Watching"
5,Michael,Portland,19,Charlotte,"Podcasts, Jewelry Making"
5,Michael,Portland,19,Elijah,"Eating Out, Painting"
6,Lucas,Austin,76,John,"Genealogy, Cooking"
6,Lucas,Austin,76,John,"Socializing, Yoga"
7,Michelle,San Antonio,25,Jack,"Music, Golf"
7,Michelle,San Antonio,25,Daniel,"Socializing, Housework, Walking"
7,Michelle,San Antonio,25,Robert,"Collecting, Walking"
7,Michelle,San Antonio,25,Nora,"Painting, Church Activities"
7,Michelle,San Antonio,25,Mia,"Running, Painting"
8,Emily,Austin,61,Nora,"Bicycling, Skiing & Snowboarding, Watching Sports"
8,Emily,Austin,61,Ava,"Writing, Reading, Collecting"
8,Emily,Austin,61,Amelia,"Eating Out, Watching Sports"
8,Emily,Austin,61,Daniel,"Skiing & Snowboarding, Martial Arts, Writing"
8,Emily,Austin,61,Zoey,"Board Games, Tennis"
9,Liam,New Orleans,33,Chloe,"Traveling, Bicycling, Shopping"
9,Liam,New Orleans,33,Evy,"Eating Out, Watching Sports"
9,Liam,New Orleans,33,Grace,"Jewelry Making, Yoga, Podcasts"
10,Levi,New Orleans,59,Noah,"Video Games, Fishing, Shopping"
10,Levi,New Orleans,59,Sarah,"Woodworking, Music, Reading"
11,Lucas,Portland,82,Luke,"Jewelry Making, Yoga"
11,Lucas,Portland,82,Noah,"Fishing, Movie Watching"
11,Lucas,Portland,82,Evy,"Gardening, Church Activities, Fishing"
12,Kevin,Charleston,82,Oliver,Eating Out
12,Kevin,Charleston,82,Michael,"Fishing, Writing"
13,Olivia,San Antonio,34,Daniel,"Yoga, Traveling, Movie Watching"
13,Olivia,San Antonio,34,Zoey,"Team Sports, Writing"
14,Robert,Los Angeles,49,Michelle,"Yoga, Television"
14,Robert,Los Angeles,49,Daniel,"Fishing, Martial Arts"
14,Robert,Los Angeles,49,Chloe,"Church Activities, Television"
